Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,PTCGDNOM0026,3068291.095890069,0.2024642043624468,72.98238013928454,-4207.341626008163,,PTCGDNOM0026,Bond,3064083.754264061,0.0025,0.20428876386592892,Bond,Financials,Senior,BBB,2026-06-15 00:00:00,1.2082191780821918,1-5,2025-06-15,5.0,Portugal,IG,4207.341626008041
900200,RXM25 Cmdty,0.0,0.0,-312270.0598926951,1371935.3164363853,,,Bond Future,1371935.3164363853,0.0025,-7.806751497317378,Bond Future,Sovereigns,,AAA,2025-06-06 00:00:00,0.18356164383561643,0-1,2034-02-15,,Germany,IG,-1371935.3164363853
900200,XS0207764712,12182155.47777786,0.2291351792395992,116.36132182246683,-256186.704830223,,XS0207764712,Bond,11925968.772947636,0.0025,0.23204421228516087,Bond,Financials,Junior Subordinated,BBB,9999-12-31 00:00:00,7980.049315068493,10+,2027-06-15,2.0,France,IG,256186.7048302237
900200,XS1684385161,8324972.3132008705,0.4594029894912147,362.83504782503377,-63224.17329367895,,XS1684385161,Bond,8261748.1399071915,0.0025,0.4684738656868406,Bond,Corporates,Senior,BB,2025-09-19 00:00:00,0.4712328767123288,0-1,2025-09-14,2.0,Japan,HY,63224.17329367902
900200,XS1739839998,18308060.10989232,0.1711131588475445,206.0460602138185,-38522.16483396521,,XS1739839998,Bond,18269537.945058353,0.0025,0.17626431035288995,Bond,Financials,Junior Subordinated,BB,9999-12-31 00:00:00,7980.049315068493,10+,2025-06-03,3.0,Italy,HY,38522.16483396664
900200,XS1808351214,38487253.46575344,0.0450183659411111,175.27127904592948,-21510.684128804663,,XS1808351214,Bond,38465742.78162464,0.0025,0.04940014791725934,Bond,Financials,Subordinated,BBB,2030-04-17 00:00:00,5.049315068493151,5-10,2025-04-17,5.0,Spain,IG,21510.684128805995
900200,XS2010031057,8373292.341650883,0.2256536129372009,135.01536103355247,-23124.051179134498,,XS2010031057,Bond,8350168.290471748,0.0025,0.22902899696303972,Bond,Financials,Junior Subordinated,BB,9999-12-31 00:00:00,7980.049315068493,10+,2025-06-23,2.0,Ireland,HY,23124.051179134287
900200,XS2052337503,16066292.602358129,0.6361666521426775,1643.2229798462545,-173581.98596547748,,XS2052337503,Bond,15892710.616392652,0.0025,0.6772472266388339,Bond,Corporates,Senior,BB,2025-11-25 00:00:00,0.6547945205479452,0-1,2025-11-25,4.0,United States,HY,173581.9859654773
900200,XS2110110686,15350044.52054794,0.0739211646545826,117.72849362046114,-7653.994802026646,,XS2110110686,Bond,15342390.525745913,0.0025,0.07686437699509412,Bond,Financials,Senior,BB,2025-04-28 00:00:00,0.07671232876712329,0-1,2025-04-28,3.0,Italy,HY,7653.994802026078
900200,XS2152062209,20588536.986607827,0.0158910624454902,32.14801758181339,-2369.0919272261062,,XS2152062209,Bond,20586167.8946806,0.0025,0.016694762885035536,Bond,Corporates,Senior,BBB,2025-04-06 00:00:00,0.01643835616438356,0-1,2025-04-06,3.0,Germany,IG,2369.091927226633
900200,XS2183818637,20430363.013631187,0.4306814448211825,1232.7755212140703,-108812.6731465727,,XS2183818637,Bond,20321550.340484615,0.0025,0.46150083285153426,Bond,Financials,Subordinated,BBB,2030-09-09 00:00:00,5.446575342465754,5-10,2025-09-09,7.0,United Kingdom,IG,108812.67314657196
900200,XS2187689034,30750616.43836727,0.2042262176636068,728.4268521703793,-39428.187652481865,,XS2187689034,Bond,30711188.250714786,0.0025,0.2224368889678663,Bond,Corporates,Subordinated,BBB,9999-12-31 00:00:00,7980.049315068493,10+,2025-06-17,4.0,Germany,IG,39428.18765248358
900200,XS2189784288,15986847.853914062,0.4735890991365954,1099.3818855309096,-95393.47118483888,,XS2189784288,Bond,15891454.382729223,0.0025,0.5010736462748682,Bond,Financials,Junior Subordinated,BB,9999-12-31 00:00:00,7980.049315068493,10+,2025-10-09,4.0,Germany,HY,95393.47118483856
